"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"GPC3","ENSG00000147257",2.49386074768724,3.43821259566594,8.87434295463344,1.23164173056226e-09,2.39603582263582e-05,11.6792070293141
"AKR1B10","ENSG00000198074",4.78432560616044,6.07593328193869,8.02508945517129,9.56956746501089e-09,9.30831827321609e-05,9.95624088418896
"MOXD1","ENSG00000079931",2.34334710297299,4.73349286586784,7.47634182293105,3.78283770434342e-08,0.000150752210719269,8.43323555897334
"SPP1","ENSG00000118785",5.32177540188102,4.1095638642255,7.55450116728091,3.10306289603016e-08,0.000150752210719269,8.98403240599648
"MUC6","ENSG00000184956",7.37822525614882,4.96507930470908,7.46690668842182,3.87458133852342e-08,0.000150752210719269,8.711578100574
"SNAI2","ENSG00000019549",3.97768487107128,2.43605267771064,7.00564513086181,1.26671114875963e-07,0.00021894472160297,7.64247686219825
"MMP2","ENSG00000087245",6.04188451155952,2.32276759081439,7.07725067955901,1.05220628996209e-07,0.00021894472160297,7.82018922415227
"FGF14","ENSG00000102466",3.49416168507073,2.5879473987354,6.98270587155536,1.34444998992887e-07,0.00021894472160297,7.58316605615201
"TUSC3","ENSG00000104723",3.03003167260956,1.73240935551974,7.09514925531143,1.00461569305848e-07,0.00021894472160297,7.85164705097494
"SMOC2","ENSG00000112562",2.88030821994744,3.42604683211765,7.05252098708766,1.12175999123947e-07,0.00021894472160297,7.66463726093278
"PDE1A","ENSG00000115252",2.9028948463009,2.04150264700922,6.98096673827223,1.35053801749545e-07,0.00021894472160297,7.54620255212254
"SLIT3","ENSG00000184347",3.9320401576597,1.90619693464519,7.1750309198721,8.17497955912263e-08,0.00021894472160297,8.06431088203204
"SH3YL1","ENSG00000035115",3.63564790015833,1.71272067578233,6.73146150848926,2.59132639170139e-07,0.000283011706658816,6.95418761299312
"NOTCH3","ENSG00000074181",5.29752963856088,2.36619663320433,6.65117040197978,3.20050249125833e-07,0.000283011706658816,6.74092222685832
"KIAA1211","ENSG00000109265",2.58605707164243,2.45956119844766,6.71473359130645,2.70770788094848e-07,0.000283011706658816,6.87534609206689
"P3H3","ENSG00000110811",1.77736070966007,1.95542306613675,6.8075874192117,2.12255019405349e-07,0.000283011706658816,6.96080175865705
"F3","ENSG00000117525",2.84973116718898,2.72170245739824,6.66462010935711,3.08913950421919e-07,0.000283011706658816,6.77183303454066
"BICC1","ENSG00000122870",5.16779893906648,2.9751862106484,6.76281664755193,2.38667707387956e-07,0.000283011706658816,7.03038119103176
"LUM","ENSG00000139329",5.78824397057047,2.67873099901713,6.83678361256842,1.96649283768738e-07,0.000283011706658816,7.21680122818872
