"gene_name","gene_id","baseMean","log2FoldChange","stat","pvalue","padj","B_statistic"
"MMP2","ENSG00000087245",6.04188451155952,2.75083791196122,9.70317960723241,1.82496772702989e-10,1.77514610808197e-06,13.9866381695972
"GPC3","ENSG00000147257",2.49386074768724,3.58783715659973,9.87500661814965,1.24229181024611e-10,1.77514610808197e-06,13.8634342147538
"PDE1A","ENSG00000115252",2.9028948463009,2.43026170862297,9.24794951213065,5.15050124524756e-10,1.88908282242368e-06,12.8465285756932
"SPP1","ENSG00000118785",5.32177540188102,4.39010963318883,9.19463443793433,5.82630663850214e-10,1.88908282242368e-06,12.8332575607161
"FBN1","ENSG00000166147",5.83290995205686,2.12252273906875,9.24250147966774,5.21571023243339e-10,1.88908282242368e-06,12.9730062317834
"COL5A2","ENSG00000204262",5.70484289924428,1.7449410561949,9.31156673911472,4.44807107968179e-10,1.88908282242368e-06,13.1295400796675
"BICC1","ENSG00000122870",5.16779893906648,3.57578653818584,9.12242903479156,6.88918239850798e-10,1.91460220543677e-06,12.6908190869776
"AKR1B10","ENSG00000198074",4.78432560616044,6.29509453759993,9.05368793356108,8.08588815087306e-10,1.96628585108856e-06,12.3370994540889
"FMOD","ENSG00000122176",4.60796265270056,2.25604931558386,8.84782871140198,1.31117165697328e-09,2.83417037941758e-06,12.0737558882879
"EFEMP1","ENSG00000115380",4.994015656202,3.34141361330523,8.79595954814216,1.48230741477107e-09,2.88368084469563e-06,11.9502867353778
"P3H3","ENSG00000110811",1.77736070966007,2.23957344018187,8.66969509242202,2.00114795498394e-09,2.99464094740443e-06,11.3071695817681
"SMOC2","ENSG00000112562",2.88030821994744,3.91892537487375,8.6907688483395,1.90309952607774e-09,2.99464094740443e-06,11.5012304221118
"MUC6","ENSG00000184956",7.37822525614882,4.56346710773234,8.6932673078143,1.89180570170373e-09,2.99464094740443e-06,11.6891460519452
"MOXD1","ENSG00000079931",2.34334710297299,5.10575627545385,8.45696122557614,3.33386338188765e-09,4.63264130223159e-06,10.672967634287
"THBS2","ENSG00000186340",5.90717992263378,3.26669700820116,8.38322871168605,3.98456655568769e-09,5.16771718495655e-06,10.9909716551157
"SALL1","ENSG00000103449",6.30103544277005,-1.62012142495333,-8.13921875166156,7.22512469312277e-09,8.78484848625064e-06,10.4051197119234
"FNDC1","ENSG00000164694",3.36730530487952,3.9335300425974,8.10582568151116,7.84294287173401e-09,8.97509474274785e-06,10.2755475968294
"LTBP2","ENSG00000119681",5.78337436367269,3.14102875793733,8.01080850640754,9.91323936442424e-09,1.04016955606435e-05,10.1022235687472
"LUM","ENSG00000139329",5.78824397057047,2.63368133637314,7.98953576899788,1.04486986195018e-08,1.04016955606435e-05,10.0469817986508
"TRNP1","ENSG00000253368",2.8736795511153,3.44656150993346,7.98017346341889,1.06936317062234e-08,1.04016955606435e-05,9.9413030596051
"HSPB6","ENSG00000004776",6.20230065946619,2.45657824189652,7.93022186894208,1.21031473958942e-08,1.07024831563512e-05,9.90519216743539
"LAMB1","ENSG00000091136",6.48902423852265,1.68018827373278,7.93482628268543,1.1965636772292e-08,1.07024831563512e-05,9.9154466689259
"NOTCH3","ENSG00000074181",5.29752963856088,2.4008798675537,7.89385549709094,1.32475185781392e-08,1.07382177674633e-05,9.81217593368835
"ITGB5","ENSG00000082781",6.34901242773741,1.03532636384211,7.90087726602705,1.30182588678663e-08,1.07382177674633e-05,9.82783308491318
"FGF7","ENSG00000140285",2.15527275390821,3.81623557811186,7.85696464272883,1.45215134503772e-08,1.08654431793707e-05,9.51952273677094
"THY1","ENSG00000154096",3.94239550950589,3.22695561292326,7.86121961052435,1.43684060718358e-08,1.08654431793707e-05,9.74262479052902
"ANGPT1","ENSG00000154188",1.82020693819598,2.29022677006629,7.75450889768706,1.87567555313656e-08,1.1770771680877e-05,9.30890798427458
"RAB11FIP1","ENSG00000156675",5.20511496663459,1.51155752876355,7.78407572190155,1.74190121040778e-08,1.1770771680877e-05,9.53441063351536
"RANBP3L","ENSG00000164188",1.73719817664551,-3.52714183164428,-7.77272891764199,1.79204907843568e-08,1.1770771680877e-05,9.22153531531189
"ANXA2","ENSG00000182718",6.63816339140949,1.78336702443686,7.7673230703231,1.81645621675251e-08,1.1770771680877e-05,9.50964533826647
"LAMA2","ENSG00000196569",6.04452844979194,2.78788769389969,7.77781771958192,1.76937912945784e-08,1.1770771680877e-05,9.53432265070241
