Gene,Log2change,p-value,adj_pvalue
1433B,-0.22650852980868,0.00033701307682692,0.00300155924147352
1433E,-0.321928094887362,3.23874880836435e-08,1.952589894625e-06
1433F,0.443606651475615,2.74157435945141e-08,1.71716169635883e-06
1433G,-0.250961573533219,0.00105739824420123,0.00725395910358529
1433S,-0.485426827170242,0.0323768233833439,0.0932104063323174
1433T,-0.344828496997441,1.43424732430464e-05,0.000235094497583893
1433Z,-0.20163386116965,0.00011784418372341,0.00128118130493472
1A01,0.321928094887362,0.00101504028946095,0.00704492827928573
1A02,0.070389327891398,0.531746378629762,0.671239407006994
1A03,-0.286881147788162,0.391250748764311,0.544373445634866
1A11,0.0565835283663675,0.769045013955798,0.851285969085071
1A23,0.0285691521967709,0.90643675500412,0.944439918927744
1A24,0.286881147788162,0.466797826328439,0.61287756030326
1A25,0.333423733725192,0.119584465270272,0.238112711191714
1A29,0.739848102699327,0.062723594571591,0.150887320430696
1A33,0.650764559116902,0.0982973468676114,0.207588475950679
1A68,0.575312330687437,0.115178148861846,0.231921709051663
1A80,-0.263034405833794,0.0048699487193598,0.0235223103034156
1B07,0.0565835283663675,0.741151100171948,0.832336454187272
1B08,-0.31034012061215,0.467126212020318,0.612896749589847
1B13,0.432959407276106,0.0147707648662588,0.0526093261810716
1B15,0.214124805352847,0.381198728579077,0.535513312358353
1B27,0.31034012061215,0.405317859081697,0.557104154570097
1B35,0.176322772640463,0.40165276310773,0.553349944023954
1B38,0.956056652412403,0.122493173328689,0.242343966955372
1B44,-0.137503523749935,0.485140331811935,0.6296363066508
1B73,1.57531233068744,0.0345193692347633,0.0975916405815106
1C07,0.214124805352847,0.0677925346533649,0.159814469696917
2A5A,-0.0426443374084937,0.23688184019073,0.387068582206267
2A5D,-0.176322772640463,0.00055156116466994,0.00434926019715171
2A5E,-0.0840642647884746,0.233487138773857,0.38304619188965
2A5G,0.594548549550354,0.0121397570869493,0.0458904262011077
2AAA,-0.111031312388744,1.52181267066862e-05,0.00024507773218105
2AAB,0.176322772640463,0.144161209621548,0.272544284398627
2ABA,-0.150559676575381,0.0003600037006024,0.00315525427695209
2ABD,-0.16349873228288,0.195326211433541,0.337397563426906
2B11,0.214124805352847,0.0594595982852552,0.145606085565673
2B13,0.286881147788162,0.0715372109803492,0.166150941631779
2B14,0.124328135002202,0.294440903008886,0.449449716025452
2B17,-0.111031312388744,0.716090209074185,0.812806313868206
2B18,0.286881147788162,0.488002975210977,0.632499145529167
2B1B,0.782408564927373,0.200391351209596,0.344063955809835
2B1E,0.799087306074004,0.131719231534981,0.255390174927965
2B1F,0.411426245726465,0.503869427439356,0.648481468258069
2B1G,1.18903382439002,0.291796982494023,0.447159904713038
3BHS1,-0.150559676575381,0.660293497945231,0.773783031338373
3BHS7,0.137503523749935,0.189294241940358,0.330985664981507
3BP1,0.189033824390017,0.0729013945559962,0.168050749492717
3BP2,-0.0426443374084937,0.7748261875648,0.855562698724268
3HAO,-0.485426827170242,1.5164597677233e-08,1.05250504959823e-06
3HIDH,-0.0426443374084937,0.562684731597577,0.696485085512168
3MG,-0.124328135002202,0.00046369710319804,0.00383708107737669
41,0.070389327891398,0.427325465970288,0.577260282278643
4EBP2,-0.238786859587116,0.0862990465931595,0.188559884922878
4ET,-0.111031312388744,0.302496466242424,0.458284609605259
4F2,0.27500704749987,1.06214503342763e-05,0.000186501383190605
5NT3A,-0.250961573533219,0.118716393651216,0.236756690833282
5NT3B,-0.070389327891398,0.332975643354143,0.488085275748123
5NTC,-0.20163386116965,0.00451806721584074,0.0223218552771918
5NTD,0.0143552929770701,0.837403578638408,0.899733801114151
68MP,0.739848102699327,0.154527550295642,0.286835591113066
6PGD,-0.16349873228288,0.0132928131226787,0.0490224185242301
6PGL,-0.137503523749935,0.00385107671543347,0.0197265259412895
A16A1,-0.411426245726465,0.00014334602625062,0.00149639266427477
A16L1,0.16349873228288,0.0620159667509864,0.149818440843399
A1AG1,0.443606651475615,0.0179279055491474,0.0605674465875834
A1AG2,0.176322772640463,0.262680863542809,0.416312152383008
A1AT,0.411426245726465,0.0038176197945638,0.0195942324432508
A1ATR,-0.855989697308481,0.0451868630092331,0.119015245341242
A1BG,0.22650852980868,0.0227116022001898,0.0721824188738706
A1CF,-0.0840642647884746,0.116925379309661,0.234642647096022
A2AP,0.27500704749987,0.00423118794083197,0.0212220520157353
A2GL,0.298658315564515,0.0243752690896783,0.0758022360938272
A2MG,0.176322772640463,0.111816058443531,0.226991018247421
A4,0.176322772640463,0.0481947132004905,0.12476212046256
AAAD,0.214124805352847,0.0221374760683262,0.0710021297378789
AAAS,0.37851162325373,1.10867343076536e-05,0.000191937530575648
AAAT,-0.0143552929770701,0.943008750372599,0.966444769435581
AACS,-0.111031312388744,0.189755103423001,0.331415397136885
AACT,0.622930350920177,0.00054223761057839,0.00431519103654864
AADAT,-0.286881147788162,0.00096631144074823,0.00678002125639742
AAGAB,-0.124328135002202,0.260708155233686,0.414635761337803
AAK1,-0.070389327891398,0.353339862889323,0.50873617230127
AAKB1,0.22650852980868,0.166723452615617,0.302873321288467
AAKB2,-0.286881147788162,0.00827968031163272,0.034204761278064
AAKG1,-0.432959407276106,1.09680323021138e-09,1.3852085386145e-07
AAMDC,-0.0565835283663676,0.665167653445581,0.778082539044148
AAMP,-0.150559676575381,0.0372010319296688,0.103018242266775
AAPK1,-0.0565835283663676,0.184117964444558,0.325113797230305
AAPK2,0.0976107966264223,0.217590935019898,0.363784844486392
AAR2,-0.0426443374084937,0.567403555470528,0.699740193908268
AASD1,-0.0426443374084937,0.424202307256214,0.574849838366778
AASS,-0.36737106564853,0.00012215657777385,0.00131621576946817
AATC,-0.432959407276106,1.91507830302745e-06,4.82149125703382e-05
AATF,0.263034405833794,0.00317115492730998,0.0169774687699764
AATM,0.422233000683048,0.0058788584280769,0.0270231058054322
AB17B,-0.27500704749987,0.109257587976042,0.223327263934048
AB1IP,0.16349873228288,0.0643835409061343,0.153790467722206
ABC3C,-0.0143552929770701,0.88987400135007,0.933326930586589
ABC3F,0.263034405833794,0.0219683973013229,0.0704891848435617
ABCA1,0.137503523749935,0.0102179071301732,0.0399790535961678
ABCA2,-0.16349873228288,0.334968008869863,0.489862099531781
ABCA6,-0.214124805352847,1.10124066607803e-05,0.000191080137195161
