Gene,Log2change,p-value,adj_pvalue
1433B,0.294265826308412,0.00026721972107437,0.00223022335216585
1433E,-0.0678268976176428,0.133241663274181,0.237500245715308
1433F,0.417720576640789,0.00043114653310548,0.00317055983597223
1433G,0.296261750319877,0.0151557298195773,0.0462204563483729
1433S,0.880557460868772,0.0361645318528274,0.0891330203442115
1433T,0.247066482090775,0.00487147620869231,0.0194099857250234
1433Z,0.643780280554555,4.05437743549438e-08,8.92211307824373e-06
1A01,0.290272179854465,0.00055237398840577,0.00374267534547019
1A02,0.333274439938491,0.0371489789895218,0.0909746707693589
1A03,0.43206342054311,0.294694431908923,0.430182207824314
1A11,-0.400588410461139,0.0985912508208962,0.189807955270149
1A23,0.0910009256444886,0.790508419276815,0.859965765730277
1A24,-0.56819934604889,0.0720160299191898,0.148965196731442
1A25,0.282977750507038,0.072177490505824,0.149218693309884
1A29,0.492745579337202,0.0328989222876313,0.0827598340262814
1A33,0.212538532675686,0.483607147199437,0.611585625559717
1A68,0.0444590400830073,0.878640524874427,0.922197116856213
1A80,0.0143011057666437,0.917371142046769,0.948970083682225
1B07,0.420751479649377,0.0564970761047993,0.124377891424745
1B08,0.888807040746661,0.0816968148580499,0.163095931796263
1B13,0.000566746055479256,0.997851582312152,0.998372245804097
1B15,0.436636965729961,0.0470300135860553,0.108356925264357
1B27,-0.276512511712826,0.538081668431405,0.658227495513377
1B35,0.529022683881211,0.0435172368456525,0.102197552543219
1B38,-0.114587961723931,0.567634205194559,0.683585233763898
1B44,-0.597375262712449,0.324158352240845,0.459149503543358
1B73,-0.686938522961525,0.151310122618811,0.262034012302163
1C07,0.398532504456914,0.0118306133045646,0.0379986616608084
2A5A,-0.137909927926173,0.107087894681058,0.201710253488142
2A5D,0.0888406185428909,0.203508496545731,0.327578209550001
2A5E,-0.051373241167203,0.54993519822476,0.668145567936624
2A5G,-0.024421183728274,0.857439396671185,0.908364664705523
2AAA,-0.0252977953302051,0.511446527560136,0.63702539760619
