Gene,Log2change,p-value,adj_pvalue
1433B,0.0640012418007798,0.300185017173239,0.37521911428944
1433E,-0.386078103006229,1.06289595877492e-10,1.57414687483825e-09
1433F,0.86019765882363,6.33427541583048e-15,2.90924220884214e-13
1433G,0.0413677580396517,0.578281769082648,0.64789053727918
1433S,0.396083844264955,0.0516609412823656,0.0835672584768832
1433T,-0.104272240365395,0.200863288714443,0.267910308681183
1433Z,0.43843658156358,4.60792064845381e-11,7.53819989129901e-10
1A01,0.607596869573157,1.80342242572312e-07,1.20791731222913e-06
1A02,0.400792564644649,0.00191963366356902,0.00474132309478187
1A03,0.137823504253388,0.709069699018818,0.767022666991587
1A11,-0.341201299773143,0.102002358200401,0.149828706619892
1A23,0.121276720670645,0.678943804325021,0.738994271994902
1A24,-0.285541894574323,0.372001130745946,0.449547490185704
1A25,0.618604217336269,0.0106075197928176,0.0211601920169029
1A29,1.22901934580352,0.0156448562100223,0.0296971032343232
1A33,0.86397174300231,0.0328708007088127,0.0563374274254107
1A68,0.615866362973988,0.109976291696177,0.160017613068263
1A80,-0.248007694687158,0.0499007946104333,0.0811021319711526
1B07,0.472921294667781,0.0080063796950285,0.016669515846422
1B08,0.572624867148217,0.31073739575187,0.384917281364814
1B13,0.436720468915275,0.024409329998525,0.0434870446244791
1B15,0.647056574528188,0.0241453776489861,0.0430963992457961
1B18,0.642106351797772,0.351201825822913,0.4276946477351
1B27,0.0351480937881506,0.921974334703995,0.941497348673375
1B35,0.701297977327164,0.00488765112602037,0.0107720982828829
1B38,0.849356406627032,0.0994495661237989,0.146693338216638
1B44,-0.739724561247718,0.0260857562134901,0.0460906102457728
1B73,0.886637545269086,0.179716215108403,0.243193671654935
1C07,0.614344236535302,0.00016058386811681,0.000521272665708585
2A5A,-0.180267550221567,0.00098933544035377,0.00262768116507296
2A5D,-0.0854627287579862,0.0477738614514093,0.0780319887720309
2A5E,-0.144346627834722,0.0681504849313777,0.106511878009016
2A5G,0.571877729788422,0.0210631896053492,0.03826785283609
2AAA,-0.129658893083599,1.665227663163e-05,7.02125499943481e-05
2AAB,-0.0038626897795517,0.973877036434681,0.979845509600991
2ABA,-0.0804257220946477,0.074402734988041,0.114703597036508
2ABD,0.0847269356723476,0.541419424200162,0.613629887944837
2B11,0.52999480890888,0.00015292504725077,0.00049914114407231
2B13,0.628325672080068,0.00083708643398236,0.00226391830515524
2B14,0.201500876193436,0.0880078323494209,0.13229193834517
2B17,0.635775747184662,0.0934956255603012,0.139268773518009
2B18,0.952511748706854,0.0283017796387956,0.0494848247661334
2B1B,0.652063318800017,0.269957661943639,0.344353334362228
2B1E,1.22051136392295,0.0265756720528135,0.046806182506165
2B1F,0.769335903367073,0.293694811441195,0.368479539037441
2B1G,0.701542847020229,0.397612300808997,0.474331557365835
3BHS1,0.597184075227477,0.134267341460205,0.189571236359916
3BHS7,0.00386556745171686,0.969827801193642,0.976662922736902
3BP1,0.257803580697696,0.0152231235305477,0.0289885540872917
3BP2,0.222943013565709,0.14759802082293,0.205497352701142
3HAO,-1.22672615072334,4.21981743776559e-16,2.58413582141264e-14
3HIDH,-0.769787816113405,4.5732502696965e-15,2.19175149571293e-13
3MG,-0.0945347139722283,0.009681930710043,0.0195821172630909
41,0.0994958546182821,0.262526624634544,0.336096803663538
4EBP2,-0.0839594614364684,0.615935401372534,0.682348536538474
4ET,-0.110502227202205,0.330339126710213,0.40654804826333
4F2,0.14385573849241,0.00891694092094173,0.0182501634339486
5NT3A,-0.0485626386954033,0.785354781276976,0.831247941335137
5NT3B,-0.127729676265508,0.114551571220001,0.165458615412491
5NTC,-0.166783561698794,0.0271539393333814,0.0477266049877838
5NTD,0.125249048125859,0.14738841278186,0.205316662398417
68MP,0.386884872354621,0.400673864447117,0.477172331852748
6PGD,-0.29058482546554,2.66297518548548e-05,0.000106408682191641
6PGL,-0.106651166563875,0.064044768205104,0.100977957929558
A16A1,-0.121555232715601,0.351098769416845,0.427636638487826
A16L1,0.0888932853478749,0.321179786422162,0.396388872686085
A1AG1,-0.262790329277319,0.0890885166358743,0.133606801625346
A1AG2,-0.209346056320518,0.158915414342914,0.218923645254405
A1AT,0.845437059155053,6.24018577848194e-07,3.68113711519623e-06
A1ATR,0.595594363163598,0.00313445948950762,0.0073378305282284
A1BG,0.41860123959272,0.0001232819185758,0.000411971972165818
A1CF,-0.460252934057325,2.68852484990945e-11,4.79091402815273e-10
A2AP,0.428426505836638,4.56529834192185e-05,0.000171472376478889
A2GL,0.0232610307935936,0.847465062365896,0.880797470530072
A2MG,0.847690702114541,6.86802002835874e-08,5.09554255180923e-07
A4,0.29915554913352,0.00189948347654157,0.00469756875160088
AAAD,0.0735227538603172,0.466271727713319,0.541667065798851
AAAS,0.202659691629225,0.0117232138019872,0.0230814793815089
AAAT,-0.0486393583908261,0.651523703902311,0.71357798428818
AACS,0.174934308692989,0.279712267313374,0.354510488598882
AACT,0.31855054623299,0.0398837278297462,0.0666110051805891
AADAT,-1.18258552142096,5.70902679520906e-21,2.0023113978106e-18
AAGAB,-0.321608358238172,0.00534865190550986,0.0116155919231393
AAK1,0.126856590434173,0.143226704975878,0.200206024564108
AAKB1,-0.283645649010766,0.0904196973836857,0.135261416249034
AAKB2,-0.727078764005875,1.44145940201314e-10,2.08673559961227e-09
AAKG1,-0.617114137147054,9.74545667079548e-16,5.36429367816055e-14
AAMDC,0.045238854116946,0.780033464331093,0.82693095174583
AAMP,0.103517781901868,0.14426770034951,0.201515129597541
AAPK1,-0.181485521931478,2.66007857458244e-05,0.00010634801182113
AAPK2,0.149572847674213,0.0894726540272822,0.134104700558374
AAR2,-0.274224680072983,0.00020735263948431,0.000653834477425801
AASD1,0.0675946644458299,0.290151959782331,0.364746256383263
AASS,-0.870357617067259,1.59069905125438e-13,5.11409744978283e-12
AATC,-0.191423680387281,0.00166031752789861,0.00416212152217858
