Genesymbol_phosphosite,Gene,Log2change,p-value,adj_pvalue
SPTB2_S4,SPTB2,2.0437621565079,1.11e-16,4.34436923076923e-14
SPTB2_S3,SPTB2,-1.75857019307758,2.22e-16,8.06811428571429e-14
PDLI5_S3,PDLI5,-1.75295878383758,3.33e-16,1.129536e-13
ABL1_S3,ABL1,-1.39306863067008,4.44e-16,1.32886588235294e-13
GPTC8_S3,GPTC8,-0.614672501873915,4.44e-16,1.32886588235294e-13
CCNL1_S5,CCNL1,-0.857515475854642,6.66e-16,1.88256e-13
AHNK_S13,AHNK,1.67732394217228,9.99e-16,2.42043428571429e-13
DEN4C_S3,DEN4C,-2.71839500718015,9.99e-16,2.42043428571429e-13
FLNB_S3,FLNB,-1.57184697294701,9.99e-16,2.42043428571429e-13
ACINU_S3,ACINU,-1.299357409238,1.11e-15,2.56712727272727e-13
BAD_S3,BAD,-1.16149983489584,1.22e-15,2.69885217391304e-13
PEA15_S3,PEA15,-1.1318581744793,2.22e-15,4.7064e-13
PAK2_S3,PAK2,0.936770605769607,3e-15,6.1056e-13
F134A_S5,F134A,1.84102687484679,4e-15,7.66834285714286e-13
PININ_S4,PININ,-1.3717255266223,4.22e-15,7.66834285714286e-13
SAFB1_S4,SAFB1,-1.94860670791125,4.22e-15,7.66834285714286e-13
TAGL2_S3,TAGL2,-3.14114159330617,4.66e-15,8.17588965517241e-13
MLTK_S4,MLTK,-2.17638176651298,5.11e-15,8.66656e-13
SRBS2_S11,SRBS2,1.78609842754555,7.33e-15,1.20306580645161e-12
SRS10_S1,SRS10,-1.81626947802508,1.17e-14,1.8603e-12
SPTN1_S1,SPTN1,-1.26569264818517,1.24e-14,1.91185454545455e-12
SRRM1_S3,SRRM1,-0.420581641572028,1.35e-14,2.02023529411765e-12
ARFG1_S7,ARFG1,-2.43495224485379,1.55e-14,2.25325714285714e-12
CRTC2_S3,CRTC2,-1.54873073080192,1.67e-14,2.36026666666667e-12
TRIM3_S4,TRIM3,-0.815461954501824,1.79e-14,2.46149189189189e-12
NUMBL_T2,NUMBL,1.3915629511359,1.9e-14,2.544e-12
RBM10_S8,RBM10,-0.538455888585781,1.98e-14,2.58313846153846e-12
TIF1B_S1,TIF1B,-2.63330092248105,2.38e-14,3.02736e-12
LIMA1_S3,LIMA1,-1.41326456287511,3.42e-14,4.24413658536585e-12
CYLD_S3,CYLD,-1.61236282334235,5.25e-14,6.36e-12
NUCKS_S8,NUCKS,-1.39353180270657,6.15e-14,7.13476363636364e-12
TENS1_S1,TENS1,-2.04023225192127,6.17e-14,7.13476363636364e-12
PCY1A_S2,PCY1A,-3.01290209399827,6.82e-14,7.71114666666667e-12
PUM2_S4,PUM2,-0.57073640819326,7.75e-14,8.57217391304348e-12
SRSF9_S2,SRSF9,-0.686703170309999,8.88e-14,9.61307234042553e-12
DERL1_S4,DERL1,-1.91381126821203,1.52e-13,1.6112e-11
PGM2_T8,PGM2,-1.46205199657104,2.07e-13,2.14942040816327e-11
TLN1_S9,TLN1,-1.3652479716796,2.42e-13,2.45421176470588e-11
ABLM1_S3,ABLM1,1.73085344739127,2.46e-13,2.45421176470588e-11
KKCC2_S3,KKCC2,-1.28204272869005,2.8e-13,2.73969230769231e-11
SYNPO_T5,SYNPO,2.0523242066307,3.11e-13,2.9856e-11
CALX_S10,CALX,-0.7183854520783,3.31e-13,3.08055272727273e-11
SLTM_S9,SLTM,-1.12416693899124,3.33e-13,3.08055272727273e-11
WDR20_S1,WDR20,-1.1811698064624,4.11e-13,3.67764210526316e-11
SRBS2_S2,SRBS2,-0.454840647919073,4.12e-13,3.67764210526316e-11
BCLF1_S7,BCLF1,2.30953531661484,4.71e-13,4.07902372881356e-11
SRSF9_T2,SRSF9,-0.859632498793905,4.73e-13,4.07902372881356e-11
RHG01_S3,RHG01,-1.60929551000689,6.33e-13,5.36784e-11
SRSF2_S3,SRSF2,-1.22266515453218,6.52e-13,5.43832131147541e-11
IF4G1_S8,IF4G1,1.28959806389488,7.01e-13,5.75272258064516e-11
MY18A_S2,MY18A,-1.57462499994563,7.24e-13,5.84716190476191e-11
GFPT1_S3,GFPT1,-1.23833216316706,8.15e-13,6.47925e-11
TPIS_S3,TPIS,1.74021834419153,8.29e-13,6.48915692307692e-11
SNX27_S1,SNX27,-2.01291201409549,1.01e-12,7.78618181818182e-11
TPD53_S7,TPD53,2.28040141214685,1.13e-12,8.58125373134328e-11
PPIG_T3,PPIG,-1.18217223663097,1.31e-12,9.80188235294118e-11
BCL10_S3,BCL10,-1.46461473827242,1.42e-12,1.03940571428571e-10
TMX1_S14,TMX1,-0.693230884797469,1.43e-12,1.03940571428571e-10
PININ_S3,PININ,-1.05040291769575,1.64e-12,1.17525633802817e-10
ZNF22_S1,ZNF22,-3.75488750216347,1.74e-12,1.2296e-10
REPS1_S1,REPS1,-0.80679574774433,1.98e-12,1.38003287671233e-10
PKP2_S8,PKP2,-1.03976530589157,2.64e-12,1.81517837837838e-10
SRRM2_T5,SRRM2,-0.832044131083083,2.75e-12,1.8656e-10
GGYF1_S1,GGYF1,-0.975041656858483,3e-12,2.00842105263158e-10
FARP1_T11,FARP1,2.37109780369047,3.14e-12,2.07484675324675e-10
BNIP2_S3,BNIP2,1.43890961498675,3.22e-12,2.10043076923077e-10
TENS1_S3,TENS1,-1.32040298054759,3.5e-12,2.23236e-10
VIME_S6,VIME,-1.74743684490128,3.51e-12,2.23236e-10
EVL_S3,EVL,2.58961486428487,3.6e-12,2.26133333333333e-10
ATN1_S4,ATN1,-0.814460688682211,3.98e-12,2.46954146341463e-10
VP13C_S5,VP13C,-2.04553978601557,4.15e-12,2.544e-10
HSPB1_S3,HSPB1,-1.60295566934304,4.46e-12,2.70148571428571e-10
NU214_T8,NU214,-1.05889181027519,4.77e-12,2.85164651162791e-10
MRC2_S3,MRC2,-2.37300228359571,4.82e-12,2.85164651162791e-10
NFIB_S3,NFIB,-1.55816348324665,5.04e-12,2.94753103448276e-10
AFAD_S4,AFAD,2.13052766097833,5.21e-12,2.98419775280899e-10
SKIV2_S3,SKIV2,-1.0186916086456,5.22e-12,2.98419775280899e-10
