Genesymbol_phosphosite,Gene,Log2change,p-value,adj_pvalue
2A5A_S1,2A5A,-0.411426245726465,0.524743545108944,0.658625482181853
2A5D_S3,2A5D,-0.31034012061215,0.307933323364699,0.464077665787064
2A5E_S1,2A5E,0.0565835283663675,0.869397211276767,0.919911522094665
3BP1_S11,3BP1,-0.36737106564853,0.13568879857131,0.273122790693376
3BP1_S2,3BP1,-0.0426443374084937,0.759971318493883,0.843462488524895
3BP1_S5,3BP1,-0.028569152196771,0.937004751628551,0.960401104411744
3BP2_S1,3BP2,-0.111031312388744,0.578823248863203,0.70175223373714
3BP5L_S4,3BP5L,-0.22650852980868,0.189606514630865,0.33726482029164
3BP5L_S7,3BP5L,-0.238786859587116,0.0636,0.172633495934959
3HAO_S3,3HAO,-1.11769504266975,0.000182,0.00588036129032258
41_S14,41,-0.594548549550354,0.00444,0.0331150295857988
41_S3,41,-0.250961573533219,0.410906680544252,0.565024891863156
41_T4,41,-0.790772037862,0.437230287618128,0.585467722029836
4EBP1_T1,4EBP1,-0.84799690655495,0.103747296541641,0.232260375985936
4EBP1_T7,4EBP1,-0.22650852980868,0.0912,0.213325361980383
4EBP2_T26,4EBP2,-0.27500704749987,0.23729713215437,0.391301955162689
4ET_S1,4ET,0.432959407276106,0.156220172376772,0.296344933054119
4ET_S19,4ET,0.0976107966264223,0.663378968064075,0.769562629618922
4ET_S3,4ET,1.22032995487956,0.000101,0.00418023140495868
4ET_T2,4ET,0.985500430304885,0.010685635185886,0.0592620830685682
6PGL_S6,6PGL,-0.214124805352847,0.639116463488074,0.751160584169978
6PGL_S7,6PGL,-1.59931779369823,0.0312,0.111527194860814
6PGL_S9,6PGL,-0.432959407276106,0.0943,0.218333055940823
A16L1_S1,A16L1,-0.238786859587116,0.0342,0.117632967032967
A16L1_S3,A16L1,-0.0426443374084937,0.859305071690945,0.911158119633337
A16L2_S3,A16L2,-0.0565835283663676,0.906489595715158,0.941455805753113
AACT_T12,AACT,-0.028569152196771,0.900335293945705,0.938177101972553
AAK1_S1,AAK1,0.464668267003444,0.0791,0.194968153051922
AAK1_S12,AAK1,0.505890929729957,0.00133,0.0173003636363636
AAK1_S13,AAK1,0.31034012061215,0.489374651893844,0.631158448798447
AAK1_T18,AAK1,-0.0565835283663676,0.875050457215953,0.923162563669158
AAK1_T3,AAK1,-0.356143810225275,0.0764,0.19213230333726
AAK1_T4,AAK1,0.0565835283663675,0.770312238617225,0.849718874668516
AAK1_T5,AAK1,0.0285691521967709,0.803678955371051,0.871362677743716
AAK1_T5_S9,AAK1,0.31034012061215,0.116145539910328,0.249852604755551
AAKB1_S1,AAKB1,0.0565835283663675,0.652485759813578,0.760980131613041
AAKB1_S10,AAKB1,-0.250961573533219,0.138830289728878,0.277937236261132
AAKB2_S1,AAKB2,-0.782408564927373,0.0013,0.0172599477806788
AAKB2_S2,AAKB2,-0.594548549550354,0.565321928118341,0.691870043014822
AAKB2_S4,AAKB2,-0.622930350920177,0.015196323406157,0.0718128301886792
AAKB2_S5,AAKB2,-1.0071955014042,2.93e-05,0.00231908923076923
AAKB2_S7,AAKB2,-0.31034012061215,0.641393476997506,0.753129784948068
AAKG2_S11,AAKG2,-0.111031312388744,0.727619784860827,0.818831415634582
AAKG2_S2,AAKG2,-1.25096157353322,0.295231860467507,0.451732709202956
AAKG2_S3,AAKG2,-0.37851162325373,0.335292344745671,0.493032253036342
AAKG2_S5,AAKG2,-1.13093086982645,0.0167,0.0765174748398902
AAPK1_S1,AAPK1,0.807354922057604,0.033,0.114528066528067
AAPK1_S11,AAPK1,-0.0426443374084937,0.887296384682561,0.93078766118355
AAPK1_S3,AAPK1,-0.495695162624069,0.377186384796541,0.534054117913791
AAPK2_S2,AAPK2,-0.0426443374084937,0.760486303453638,0.843711875874129
AAPK2_S3,AAPK2,1.39506279951758,0.0339,0.117245303867403
AB1IP_S2,AB1IP,-0.22650852980868,0.637411394114304,0.750212987479303
AB1IP_S3,AB1IP,-0.641546029087524,0.021835754082991,0.0897075114418531
AB1IP_T5,AB1IP,-1.0496307677246,0.00225,0.022536
ABCA6_T3,ABCA6,0.0840642647884745,0.871458904256183,0.920925552334873
ABCBB_S2,ABCBB,-2.93168305705981,0.0179,0.0796828444444444
ABCBB_S3,ABCBB,-1.41142624572647,0.0152,0.0718128301886792
ABCBB_S6,ABCBB,-1.62760683812965,0.0323,0.11288094905792
ABCF1_S13,ABCF1,-0.36737106564853,0.172245616857655,0.316436555107533
ABCF1_S5,ABCF1,-1.23266075679027,0.0362,0.121670872483221
ABCF1_S6,ABCF1,-0.641546029087524,9.21e-05,0.00400219159663866
ABCF1_S7,ABCF1,-0.321928094887362,0.133123390267859,0.270495973278456
ABCF1_T4,ABCF1,-0.6959938131099,0.0081,0.0491694545454545
ABH15_S4,ABH15,-0.389566811762726,0.0605,0.167765227021041
ABI1_S10,ABI1,0.367371065648529,0.0999,0.226584782608696
ABI1_S3,ABI1,0.632268215499513,0.0163,0.0750816648846412
ABL1_S3,ABL1,0.978195629681652,0.000156,0.00531254054054054
ABL2_S3,ABL2,-0.298658315564515,0.146386387809985,0.286464314396302
ABLM1_S12,ABLM1,-0.0143552929770701,0.962105049441402,0.976930674696379
ABLM1_S13,ABLM1,-0.0565835283663676,0.852216251157781,0.906306162704947
ABLM1_S14,ABLM1,-0.6959938131099,0.0567,0.160154314720812
ABLM1_S17,ABLM1,-0.214124805352847,0.268232023109337,0.423981011104797
ABLM1_S2,ABLM1,1.04264433740849,0.023,0.0927407407407407
ABLM1_S2_S17,ABLM1,-0.27500704749987,0.269076367782123,0.424554016966878
ABLM1_S3,ABLM1,0.495695162624069,0.0564,0.159667156585642
